execution_ms,period_ms,iteration
0.184034,1.04487,1
0.0144,0.981579,2
0.018304,0.996427,3
0.01152,0.999499,4
0.011968,0.997643,5
0.011648,1.00395,6
0.017408,0.997195,7
0.012288,1.00023,8
0.015808,1.00039,9
0.015553,1.00577,10
0.018336,0.994315,11
0.014816,1.00177,12
0.017505,0.997835,13
0.014177,1.00046,14
0.012385,1.00078,15
0.011969,0.999691,16
0.011617,1.00369,17
0.015617,0.994731,18
0.015297,1.00439,19
0.012577,0.997419,20
0.017313,0.998059,21
0.012704,1.00225,22
0.016737,0.996938,23
0.011936,1.00232,24
0.016704,1.00056,25
0.011936,0.998475,26
0.011808,0.999979,27
0.019008,1.00747,28
0.013376,0.994123,29
0.012576,0.999051,30
0.017024,0.999947,31
0.020608,0.999083,32
0.012544,1.00212,33
0.013856,0.996395,34
0.0168,1.00027,35
0.02048,0.999339,36
0.020992,1.01303,37
0.020672,0.994091,38
0.015872,0.994859,39
0.014784,1.00126,40
0.012416,0.998731,41
0.012416,1.00075,42
0.012928,0.999595,43
0.017248,0.999243,44
0.012544,1.00068,45
0.015072,1.00452,46
0.018016,0.995595,47
0.01936,1.00008,48
0.01344,0.998955,49
0.01408,1.00366,50
0.01424,0.995403,51
0.01216,1.00132,52
0.014176,1.00356,53
0.0192,0.995659,54
0.01456,0.999883,55
0.01856,1.00609,56
0.018848,0.994731,57
0.016352,0.998539,58
0.015808,1.00056,59
0.016864,1.00292,60
0.01408,0.997707,61
0.018912,0.998795,62
0.015072,1.00142,63
0.013408,0.998507,64
0.014432,1.00654,65
0.012768,0.997035,66
0.01616,0.996203,67
0.012448,1.00164,68
0.018657,0.999467,69
0.014593,1.00151,70
0.013505,0.998923,71
0.016001,1.00059,72
0.012257,0.997867,73
0.014913,1.00667,74
0.012289,0.995915,75
0.012704,1.00744,76
0.011713,0.991466,77
0.01136,1.00196,78
0.013856,0.999563,79
0.02032,0.998219,80
0.015808,0.999435,81
0.014272,1.00043,82
0.008384,0.063681,84
0.02272,2.47251,85
0.011424,5.56163,87
0.265699,1.00184,88
0.024416,0.993931,89
0.040161,0.998539,90
0.036,0.995531,91
0.038145,1.00849,92
0.040385,1.00008,93
0.037537,0.997963,94
0.041729,1.00737,95
0.039777,0.992171,96
0.037921,0.996363,97
0.038177,1.00449,98
0.037537,1.00529,99
0.037121,0.991595,100
0.038113,1.00391,101
0.035681,1.00385,102
0.039425,0.992683,103
0.038305,1.00219,104
0.039009,1.00481,105
0.037793,0.994923,106
0.037633,1.00391,107
0.03936,1.00392,108
0.039425,0.994858,109
0.037025,0.998859,110
0.037793,0.997995,111
0.038496,1.01124,112
0.03968,0.991627,113
0.03872,0.995147,114
0.035584,1.0123,115
0.040128,0.992459,116
0.039488,1.26683,117
0.024993,0.711719,118
0.024417,0.998475,119
0.018593,0.995211,120
0.014945,0.999915,121
0.012801,1.00113,122
0.014241,0.998283,123
0.014849,0.999531,124
0.013857,0.999947,125
0.013441,1.00027,126
0.012513,1.00017,127
0.012993,0.999307,128
0.014336,1.00046,129
0.012832,1.00135,130
0.011808,0.998891,131
0.01216,1.00049,132
0.012192,0.999723,133
0.012096,1.00011,134
0.01216,1.00043,135
0.012032,1.00372,136
0.011808,1.00017,137
0.01728,1.00158,138
0.016608,0.995275,139
0.015424,0.999531,140
0.013504,1.00056,141
0.012704,1.00148,142
0.012,0.999371,143
0.013984,0.998283,144
0.01456,0.999979,145
0.014784,1.00164,146
0.015136,0.999083,147
0.012928,0.999531,148
0.014944,0.999595,149
0.012224,1.00174,150
0.011744,0.999819,151
0.011648,0.999179,152
0.011584,0.999851,153
0.012032,1.00091,154
0.011904,0.999595,155
0.011872,0.999179,156
0.01232,1.00027,157
0.012192,1.00097,158
0.012288,0.999371,159
0.014144,0.999115,160
0.014272,0.999243,161
0.014656,1.00187,162
0.014912,1.00017,163
0.015136,0.999467,164
0.014976,1.00049,165
0.014976,1.00075,166
0.014208,0.998635,167
0.014176,0.998795,168
0.014432,1.00056,169
0.01536,1.0027,170
0.015456,0.997803,171
0.01376,0.999819,172
0.013248,1.00033,173
0.014913,1.00043,174
0.013953,0.998667,175
0.013505,0.999787,176
0.014593,0.999851,177
0.012929,1.00219,178
0.015233,0.999179,179
0.015297,1.00113,180
0.015073,0.998635,181
0.01504,1.00171,182
0.01312,0.998923,183
0.014656,0.998923,184
0.013824,1.00039,185
0.014688,1.00097,186
0.015648,0.998891,187
0.015424,1.00132,188
0.015296,0.998987,189
0.01408,0.999979,190
0.014464,0.999627,191
0.014208,1.00059,192
0.01488,0.999787,193
0.014464,1.00049,194
0.014496,0.998955,195
0.015008,1.00004,196
0.015008,0.999755,197
0.015808,1.00116,198
0.01392,0.997931,199
0.013824,0.998859,200
0.014368,1.00148,201
0.014976,1.00215,202
0.014976,0.998891,203
0.014656,1.00043,204
0.01488,1.0003,205
0.01536,1.00142,206
0.014912,0.998123,207
0.01456,0.999499,208
0.01552,1.00078,209
0.015616,1.00084,210
0.01568,0.998283,211
0.015392,1.00004,212
0.015168,1.00056,213
0.014656,1.00072,214
0.014368,0.999211,215
0.012608,0.999531,216
0.012768,0.999915,217
0.014656,1.00103,218
0.014528,0.999147,219
0.014688,1.00008,220
0.014752,0.998891,221
0.015168,1.00248,222
0.014592,0.999019,223
0.014336,0.999435,224
0.014848,0.999819,225
0.014784,1.0012,226
0.0152,1.00039,227
0.01536,0.999019,228
0.014977,0.999723,229
0.015777,1.00215,230
0.014945,0.998315,231
0.013633,0.999755,232
0.014881,0.999339,233
0.013409,1.00203,234
0.012673,0.999211,235
0.012865,0.999339,236
0.012289,1.00043,237
0.012192,1.00161,238
0.012288,0.999883,239
0.012032,0.999787,240
0.012128,0.998411,241
0.013024,1.00027,242
0.014432,0.999627,243
0.012929,0.999786,244
0.014625,0.999947,245
0.015297,1.0027,246
0.014657,0.998027,247
0.014721,0.999723,248
0.014049,0.999275,249
0.015585,1.00305,250
0.015361,0.998059,251
0.015424,0.999211,252
0.016288,1.00248,253
0.01472,0.998379,254
0.014784,0.999947,255
0.014208,0.999435,256
0.014624,1.00027,257
0.014784,1.00094,258
0.015232,0.998827,259
0.015264,0.999531,260
0.014592,1.00039,261
0.013152,1.00273,262
0.01248,0.998571,263
0.01328,0.999435,264
0.012992,0.999627,265
0.012992,1.0012,266
0.012384,0.998539,267
0.015424,0.999691,268
0.013696,1.00017,269
0.013952,1.00225,270
0.013312,0.998603,271
0.012864,0.999083,272
0.0128,1.00027,273
0.0136,1.00155,274
0.014432,0.998347,275
0.012928,1.00043,276
0.012832,1.00129,277
