execution_ms,period_ms,iteration
0.185851,1.04026,1
0.021503,0.979337,2
0.015103,1.00126,3
0.013695,0.998249,4
0.012799,0.998185,5
0.012832,1.00692,6
0.012575,0.992362,7
0.012736,1.0003,8
0.01296,0.999081,9
0.016928,1.00542,10
0.01168,0.996553,11
0.012736,0.999081,12
0.011488,1.00065,13
0.01408,0.998825,14
0.013119,1.00289,15
0.011231,1.00238,16
0.011615,0.995465,17
0.01232,0.999272,18
0.01552,1.00513,19
0.011456,0.996073,20
0.011488,0.999945,21
0.012192,0.998537,22
0.011648,1.00103,23
0.010944,0.998985,24
0.011264,1.00033,25
0.012607,1.00455,26
0.011519,0.994217,27
0.015456,1.00702,28
0.011744,0.995145,29
0.011776,0.999177,30
0.012192,0.999433,31
0.012672,1.00212,32
0.013632,1.00142,33
0.012768,0.996041,34
0.012064,0.999497,35
0.011615,1.00308,36
0.016511,1.00465,37
0.014111,0.997449,38
0.011456,0.99684,39
0.011616,0.998825,40
0.01184,1.00059,41
0.012,0.999369,42
0.011744,1.00174,43
0.01216,1.00014,44
0.012288,1.00209,45
0.015327,0.998345,46
0.012735,0.998505,47
0.011615,0.999945,48
0.011871,1.00039,49
0.012736,1.00026,50
0.0128,0.998249,51
0.011488,1.00164,52
0.011456,0.999913,53
0.013792,0.999881,54
0.016064,1.00353,55
0.012736,0.997897,56
0.015711,1.82089,57
0.010016,0.166332,59
0.011328,1.00356,60
0.012735,1.00081,61
0.012351,0.997801,62
0.012575,0.999049,63
0.011008,0.999976,64
0.012416,0.998313,65
0.018912,1.00862,66
0.012832,0.995081,67
0.011456,0.998921,68
0.01344,0.999273,69
0.012384,1.00094,70
0.012512,0.999529,71
0.011359,1.0002,72
0.011999,0.999593,73
0.018015,0.999177,74
0.01664,1.00218,75
0.011808,0.998153,76
0.01232,1.00087,77
0.011552,1.00001,78
0.011872,1.00023,79
0.011744,1.00078,80
0.011648,0.997225,81
0.011264,1.00164,82
0.012991,1.00033,83
0.010784,6.68106,85
0.381591,0.493685,86
0.024351,0.999977,87
0.031231,0.994569,88
0.031327,0.999401,89
0.037279,0.999561,90
0.03792,1.0001,91
0.038175,1.00727,92
0.033215,0.998697,93
0.038559,0.998089,94
0.038111,0.992809,95
0.038111,1.00935,96
0.039231,0.996681,97
0.031903,1.01031,98
0.038591,0.984969,99
0.036927,1.00391,100
0.040447,1.01892,101
0.037567,0.983625,102
0.036415,1.00385,103
0.037439,0.993385,104
0.036447,0.999145,105
0.038719,1.00161,106
0.037663,0.998057,107
0.037343,1.00644,108
0.038591,0.994217,109
0.039071,1.00283,110
0.040063,0.993033,111
0.03728,1.00807,112
0.034015,0.999561,113
0.039167,0.994729,114
0.038495,2.14021,115
0.030432,0.85086,116
0.046751,11.011,117
0.028351,0.997705,118
0.020991,0.993417,119
0.020544,0.994249,120
0.020479,1.0003,121
0.017503,0.999401,122
0.017247,0.999817,123
0.024351,0.998985,124
0.030303,1.01553,125
0.038751,1.00094,126
0.043935,1.005,127
0.039935,0.993161,128
0.039359,1.00619,129
0.039295,0.997961,130
0.039872,1.00241,131
0.038847,0.994026,132
0.039647,1.00302,133
0.038943,0.999817,134
0.038719,1.00247,135
0.039231,0.995465,136
0.039807,1.00295,137
0.038431,1.00558,138
0.037119,0.996585,139
0.038175,0.989097,140
0.036671,0.998345,141
0.036735,1.01799,142
0.036543,1.06532,143
0.040063,0.922762,144
0.039487,1.01019,145
0.026688,0.986025,146
0.039551,1.00737,147
0.039583,0.997609,148
