execution_ms,period_ms,iteration
0.137632,1.02982,1
0.031136,0.99104,2
0.017888,0.992225,3
0.023168,1.00298,4
0.017536,0.997985,5
0.011488,0.999713,6
0.01952,0.998913,7
0.013472,1.00208,8
0.013824,0.997473,9
0.019168,1.00128,10
0.017856,0.998177,11
0.01296,1.00022,12
0.012448,1.00016,13
0.017312,1.00298,14
0.010528,0.998305,15
0.01392,1.00013,16
0.01536,0.999265,17
0.012224,1.00195,18
0.011392,0.997249,19
0.012576,1.00058,20
0.015904,1.00064,21
0.012096,0.999777,22
0.010752,1.00032,23
0.006848,3.02029,25
0.14912,0.287904,26
0.016448,1.00154,27
0.017088,0.999841,28
0.016544,1.00176,29
0.01648,1.0001,30
0.017248,0.998529,31
0.017248,1.00147,32
0.017056,1.00151,33
0.017152,0.997633,34
0.016928,0.997696,35
0.019552,1.0009,36
0.01904,1.00067,37
0.018368,1.00288,38
0.018624,0.994945,39
0.011008,0.995328,40
0.008128,0.997377,41
0.00864,0.999969,42
0.008256,0.998753,43
0.006944,1.00013,44
0.007328,0.999328,45
0.007328,1.00039,46
0.007488,0.999809,47
0.006944,1,48
0.007232,0.999745,49
0.007328,0.999713,50
0.007104,0.999968,51
0.009728,1.24845,52
0.007744,0.750433,53
0.00864,1.16294,54
0.007648,0.837089,55
0.00752,1.00272,56
0.010464,0.997473,57
0.008416,1.00202,58
0.0096,0.998273,59
0.007424,1.00189,60
0.00736,0.9984,61
0.006368,0.997953,62
0.008416,1.00275,63
0.007552,1,64
0.009248,0.999073,65
0.007712,0.99952,66
0.010176,1.00141,67
0.008736,1.0009,68
0.009856,0.998209,69
0.006592,0.999393,70
0.011521,1.00179,71
0.008768,0.998721,72
0.00816,0.999841,73
0.006944,0.998657,74
0.010624,1.00576,75
0.010528,0.998657,76
0.011872,1.1255,77
0.00976,0.873281,78
0.010912,1.12026,79
0.00912,0.879841,80
0.008576,1.00266,81
0.007904,0.995104,82
0.007104,1.00259,83
0.014656,1.0031,84
0.011808,1.0025,85
0.01392,0.991617,86
0.008416,1.00192,87
0.012448,1.00333,88
0.0104,0.999841,89
0.009216,0.995329,90
0.007776,1.00099,91
0.01264,1.00528,92
0.010592,0.997793,93
0.012864,1.00237,94
0.011008,0.999137,95
0.009024,0.995361,96
0.008128,0.998785,97
0.014272,1.00848,98
0.011808,0.999041,99
0.011264,1.00224,100
0.008096,0.990465,101
0.006784,1.00022,102
0.015744,1.01123,103
0.014656,0.995233,104
0.010944,0.993217,105
0.009728,0.998817,106
0.017184,1.01104,107
0.013344,0.998976,108
0.01344,1.00474,109
0.00864,0.987297,110
0.007456,0.999233,111
0.018144,1.01146,112
0.01408,0.997376,113
0.008128,0.990721,114
0.006848,1.00042,115
0.016416,1.0121,116
0.013888,0.997313,117
0.017632,1.00518,118
0.014272,0.997216,119
0.01248,1.00621,120
0.008928,0.981889,121
0.007008,0.998561,122
0.019104,1.01648,123
0.016288,0.995744,124
0.010176,0.989313,125
0.008864,0.998369,126
0.021536,1.01494,127
0.016864,0.996513,128
0.016576,1.0055,129
0.008576,0.984641,130
0.00832,1.00022,131
0.018496,1.01382,132
0.01504,0.997217,133
0.008544,0.989312,134
0.00704,0.999553,135
0.017952,1.01494,136
0.014336,0.996705,137
0.01392,1.00659,138
0.010368,0.983744,139
0.008384,0.998337,140
0.01904,1.0137,141
0.014976,0.996961,142
0.009408,0.989857,143
0.008192,0.997953,144
0.019104,1.01597,145
0.015936,0.995713,146
0.015168,1.00525,147
0.008928,0.984897,148
0.00704,0.998849,149
0.0184,1.01386,150
0.016224,0.999233,151
0.008064,0.987617,152
0.006496,0.999553,153
0.017184,1.14653,154
0.016256,0.867616,155
0.015296,1.0017,156
0.008576,0.984737,157
0.007744,0.998913,158
0.01856,1.01488,159
0.01552,0.997472,160
0.008256,0.988385,161
0.007232,0.998977,162
0.017952,1.01706,163
0.017408,0.996673,164
0.015136,1.0032,165
0.008704,0.985472,166
0.007584,0.998433,167
0.018848,1.01376,168
0.014656,0.996929,169
0.008928,0.989121,170
0.00704,1.00026,171
0.0184,1.1633,172
0.015616,0.848833,173
0.014176,1.00448,174
0.009408,0.984225,175
0.00752,0.998048,176
0.0184,1.01421,177
0.015264,0.998401,178
0.009184,0.989185,179
0.007904,0.998913,180
0.019264,1.0145,181
0.014912,0.996289,182
0.01456,1.0071,183
0.008288,0.982337,184
0.007616,0.999329,185
0.020769,1.01539,186
0.01408,0.997409,187
0.008064,0.988161,188
0.006528,0.999585,189
0.019008,1.17478,190
0.017056,0.838209,191
0.014272,1.00275,192
0.008704,0.985185,193
0.007328,0.998369,194
0.018368,1.01571,195
0.015296,0.995745,196
0.008288,0.989888,197
0.00656,0.998465,198
0.018944,1.01622,199
0.014688,0.995905,200
0.013408,1.00576,201
0.008736,0.983456,202
0.007488,0.999649,203
0.01824,1.01386,204
0.014976,0.997345,205
0.008576,0.988833,206
0.007744,1.00048,207
0.019392,1.01373,208
0.014336,0.995457,209
0.0136,1.00563,210
0.007808,0.985729,211
0.007072,0.998241,212
0.021344,1.01357,213
0.015488,0.996385,214
0.009472,0.992097,215
0.007424,0.998049,216
0.017024,1.01574,217
0.01424,0.995616,218
0.00816,0.990465,219
0.013376,1.00279,220
0.021024,1.18451,221
0.016064,0.823841,222
0.015264,1.00467,223
0.006976,1.08662,224
0.008576,0.897377,225
0.01952,1.01267,226
0.015008,0.998145,227
0.008064,0.988672,228
0.006752,0.998113,229
0.01744,1.16515,230
0.015104,0.849281,231
0.014528,1.00336,232
0.008577,0.984,233
0.006976,0.999073,234
0.01824,1.0152,235
0.015264,0.997057,236
0.009312,0.989057,237
0.006784,0.998529,238
0.018976,1.01722,239
0.014848,0.994465,240
0.014464,1.00474,241
0.008576,0.984545,242
0.007648,1.00006,243
0.018496,1.01402,244
0.015104,0.997153,245
0.009408,0.989121,246
0.007808,0.999521,247
