execution_ms,period_ms,iteration
0.154459,1.02522,1
0.019167,0.986882,2
0.012991,0.998786,3
0.012416,1.00192,4
0.012512,1.00122,5
0.012192,0.997858,6
0.009983,0.999074,7
0.013088,1.00138,8
0.010783,0.99853,9
0.011232,0.998817,10
0.009951,0.999778,11
0.018111,1.00464,12
0.009184,1.00006,13
0.010944,0.996482,14
0.009696,1.00003,15
0.017951,1.0064,16
0.009248,0.995777,17
0.00912,0.999426,18
0.009664,0.997601,19
0.010112,1.00327,20
0.009568,0.997761,21
0.009696,1.00083,22
0.010624,0.999681,23
0.013055,0.999362,24
0.009664,1.00154,25
0.009887,1.00253,26
0.0056,4.33664,28
0.054398,0.502385,29
0.017376,1.00151,30
0.017311,0.99933,31
0.015456,1.00151,32
0.0192,1.00198,33
0.019775,0.998594,34
0.019264,1.00003,35
0.017919,0.999138,36
0.019232,0.999489,37
0.019263,0.99933,38
0.019648,1.00077,39
0.019871,1.00096,40
0.020192,1.00403,41
0.010528,0.986978,42
0.008255,0.99693,43
0.007648,0.999457,44
0.007744,0.998562,45
0.006816,0.999137,46
0.006592,0.999618,47
0.006496,1.00039,48
0.00656,1.00003,49
0.007072,0.999713,50
0.007455,1,51
0.006784,1.00003,52
0.007711,1.0008,53
0.007104,0.999361,54
0.006687,0.999394,55
0.006656,1.00006,56
0.006815,1.00055,57
0.006944,0.999745,58
0.006591,0.999938,59
0.006848,1.00003,60
0.007071,1.00023,61
0.00704,0.999745,62
0.006527,0.99965,63
0.006592,0.999777,64
0.008096,1.00294,65
0.007776,0.99837,66
0.007808,0.999905,67
0.007552,0.99981,68
0.007616,1.00099,69
0.00736,0.998978,70
0.006464,0.999361,71
0.006816,1.00035,72
0.00656,1.00086,73
0.00704,0.99949,74
0.007488,0.999681,75
0.007136,1.00074,76
0.007584,1.00022,77
0.007104,0.999458,78
0.006624,0.999745,79
0.006624,0.999714,80
0.006688,1.00048,81
0.007136,0.999714,82
0.00736,0.999809,83
0.007264,1.00013,84
0.007264,1.00019,85
0.007296,0.999714,86
0.006592,1.00016,87
0.006592,0.999714,88
0.006752,1.00077,89
0.00688,0.999266,90
0.0072,0.999969,91
0.006815,1.00032,92
0.00736,1.00067,93
0.006943,0.999234,94
