execution_ms,period_ms,control loop iteration
0.15335,10.0317,1
0.036385,10.0038,2
0.054146,10.0047,3
0.064578,10.1611,4
0.024961,9.93641,5
0.017921,10.0512,6
0.018145,10.0289,7
0.018817,10.0036,8
0.014433,9.80303,9
0.028033,10.1437,10
0.018497,9.85551,11
0.022209,10.1441,12
0.025185,9.85599,13
0.024641,10.1435,14
0.017601,9.85455,15
0.020449,10.145,16
0.016992,9.85669,17
0.021377,10.1436,18
0.018784,9.85586,19
0.023168,10.1425,20
0.019009,9.84258,21
0.023137,10.168,22
0.06269,9.8781,23
0.043586,9.97286,24
0.053218,10.1967,25
0.058626,9.78731,26
0.06045,10.0222,27
0.037729,10.1477,28
0.022593,9.84629,29
0.069219,10.1782,30
0.067971,9.8534,31
0.073155,9.96643,32
0.075491,10.5552,33
0.070691,9.4473,34
0.029633,9.98335,35
0.923779,10.2014,36
0.495219,9.79826,37
0.116069,10.2365,38
0.087587,10.0003,39
0.097124,10.002,40
0.114373,10.0381,41
0.104004,9.75051,42
0.108356,10.1919,43
0.10426,9.82284,44
0.112004,10.1813,45
0.113444,9.80552,46
0.117796,10.1882,47
0.102212,9.81948,48
0.111429,10.2046,49
0.117157,9.80636,50
0.122596,10.1812,51
0.109636,9.80162,52
0.121893,10.219,53
0.111973,9.77973,54
0.116421,10.1909,55
0.100964,9.80293,56
0.127269,10.1964,57
0.104164,9.80319,58
0.116772,10.2041,59
0.103396,9.79692,60
0.112676,10.1844,61
0.097348,9.82748,62
0.10506,10.1858,63
0.103012,9.80968,64
0.103076,10.1576,65
0.09146,9.83644,66
0.105956,10.1888,67
0.097828,9.81445,68
0.114148,10.1624,69
0.054914,9.80869,70
0.106052,10.2091,71
0.101572,9.82588,72
0.102723,10.1779,73
0.106276,9.81324,74
0.106885,10.162,75
0.108516,9.84335,76
0.105348,10.1837,77
0.102211,9.80898,78
0.110084,10.1603,79
0.101764,9.84607,80
0.111492,10.1783,81
0.099268,9.81919,82
0.110373,10.1485,83
0.104452,9.86716,84
0.10986,10.1429,85
0.097539,9.84197,86
0.122244,10.1528,87
0.099044,9.84348,88
0.114308,10.159,89
0.107556,9.84588,90
0.109988,10.162,91
0.09434,9.84236,92
0.10778,10.1682,93
0.096195,9.83058,94
0.11002,10.1764,95
0.101508,9.81487,96
0.107492,10.1845,97
0.103556,9.81852,98
0.104932,10.1574,99
0.08938,9.83781,100
0.111204,10.1524,101
0.106244,9.86882,102
0.107428,10.1442,103
0.103236,9.84197,104
0.105572,10.1577,105
0.088835,9.84444,106
0.106468,10.1503,107
0.131461,9.83919,108
0.101156,10.0073,109
0.107652,10.1599,110
0.098755,9.84405,111
0.107588,10.1994,112
0.214089,10.1167,113
0.174566,9.73272,114
0.145605,9.93484,115
0.122885,9.99881,116
0.180231,10.0208,117
0.17111,9.98723,118
0.311884,10.2429,119
0.090915,9.73794,120
0.202119,10.9601,121
0.143749,9.04287,122
0.391343,10.006,123
0.158374,9.98623,124
1.45455,10.1837,125
0.300812,9.82315,126
0.252554,10.2512,127
0.431953,9.78843,128
0.256394,10.1662,129
0.206824,9.80447,130
0.227945,10.1586,131
0.182247,9.86159,132
0.235144,10.1773,133
0.190023,9.83432,134
0.221256,10.1752,135
0.193927,9.81109,136
0.205447,10.1933,137
0.169319,9.79983,138
0.255433,10.2129,139
0.175687,9.78757,140
0.24945,10.2074,141
0.175175,9.79666,142
0.206248,10.2308,143
0.17655,9.76501,144
0.211368,10.1879,145
0.179943,9.81554,146
0.238185,10.2091,147
0.194087,9.7916,148
0.236105,10.194,149
0.17847,9.79925,150
0.224264,10.2075,151
0.188039,9.81039,152
0.224809,10.2075,153
0.189832,9.78559,154
0.223624,10.2086,155
0.174599,9.78693,156
0.231209,10.2259,157
0.17735,9.77515,158
0.248105,10.2064,159
0.190311,9.79986,160
0.249257,10.2015,161
0.186855,9.80223,162
0.231848,10.1786,163
0.184615,9.81771,164
0.236393,10.2172,165
0.170854,9.77695,166
0.226153,10.2129,167
0.200167,9.79128,168
0.20916,10.2258,169
0.189063,9.78069,170
0.221992,10.202,171
0.171494,9.79122,172
0.226153,10.2113,173
0.186023,9.79103,174
0.228328,10.2009,175
0.194151,9.8086,176
0.230825,10.1818,177
0.167047,9.80853,178
0.236521,10.1994,179
0.192583,9.80236,180
0.221513,10.2128,181
0.170471,9.77531,182
0.229033,10.2018,183
0.174247,9.80767,184
0.165158,9.98383,185
0.17159,10.0243,186
0.426992,9.97388,187
0.178791,10.0186,188
0.241033,10.2251,189
0.174823,9.78213,190
0.19828,10.1866,191
0.173542,9.81436,192
0.224393,10.2012,193
0.182951,9.78975,194
0.236393,10.1927,195
0.16519,9.81464,196
0.21892,10.2047,197
0.179623,9.77995,198
0.212456,10.2561,199
0.181799,9.74776,200
0.242665,10.1912,201
0.171399,9.80879,202
0.249737,10.2014,203
0.201607,9.80171,204
0.237417,10.1969,205
0.193479,9.79915,206
0.23716,10.2136,207
0.176519,9.79931,208
0.236169,10.1967,209
0.172071,9.78808,210
0.210088,10.1975,211
0.174758,9.8013,212
0.238377,10.1964,213
0.179366,9.80981,214
0.2146,10.176,215
0.179911,9.81739,216
0.227561,10.2129,217
0.176167,9.80299,218
0.216296,10.2009,219
0.177543,9.79186,220
0.24913,10.1971,221
0.184903,9.8037,222
0.237865,10.1923,223
0.17063,9.80335,224
0.240937,10.2112,225
0.172935,9.79282,226
0.222281,10.1821,227
0.191303,9.81397,228
0.439409,9.9847,229
0.187911,10.0128,230
0.179591,10.1921,231
0.181126,9.80434,232
0.218824,10.1919,233
0.192007,9.81893,234
0.246922,10.2,235
0.184807,9.80283,236
0.230345,10.1972,237
0.187879,9.79256,238
0.213832,10.1852,239
0.190792,9.8205,240
0.240553,10.1955,241
0.174534,9.79586,242
0.227208,10.2119,243
0.178407,9.78779,244
0.229481,10.2049,245
0.189415,9.80415,246
0.230057,10.2008,247
0.194696,9.79224,248
0.414,9.98863,249
0.184167,10.0217,250
0.228233,10.1937,251
0.168646,9.7956,252
0.234601,10.1906,253
0.159142,9.81893,254
0.217864,10.2309,255
0.187495,9.76062,256
0.226121,10.195,257
0.186407,9.80888,258
0.225576,10.2322,259
0.188871,9.7683,260
0.222857,10.2291,261
0.168167,9.7627,262
0.222824,10.208,263
0.166758,9.79659,264
0.208456,10.2502,265
0.192039,9.74965,266
0.223433,10.2122,267
0.180807,9.78447,268
0.252713,10.212,269
0.187847,9.79486,270
0.203879,10.1904,271
0.188359,9.81387,272
0.22628,10.1972,273
0.186951,9.79733,274
0.223976,10.2194,275
0.193672,9.79429,276
0.217705,10.1802,277
0.186407,9.80341,278
0.249322,10.208,279
0.172934,9.79064,280
0.234057,10.2034,281
0.175047,9.81055,282
0.226152,10.1946,283
0.183175,9.80251,284
0.242441,10.2253,285
0.181927,9.76725,286
0.234473,10.2026,287
0.187079,9.80386,288
0.217128,10.1986,289
0.191015,9.80981,290
0.215624,10.1793,291
0.183239,9.81141,292
0.234697,10.207,293
0.190375,9.79157,294
0.244617,10.2004,295
0.192263,9.79903,296
0.2274,10.2064,297
0.187975,9.78904,298
0.227145,10.1921,299
0.190855,9.81378,300
0.213384,10.1858,301
0.194023,9.81915,302
0.229256,10.1985,303
0.177286,9.79874,304
0.218025,10.1795,305
0.190759,9.82197,306
0.241033,10.2243,307
0.194663,9.76501,308
0.247049,10.2039,309
0.187911,9.79912,310
0.201576,10.1966,311
0.194728,9.81144,312
0.239273,10.206,313
0.178055,9.798,314
0.253289,10.2015,315
0.182631,9.79163,316
0.258442,10.2517,317
0.180775,9.75195,318
0.216328,10.1796,319
0.192744,9.81973,320
0.191591,10.1973,321
0.181063,9.79477,322
0.238184,10.2089,323
0.174503,9.80286,324
0.195367,10.2537,325
0.173414,9.74776,326
0.239145,10.1944,327
0.190439,9.79087,328
0.220904,10.2125,329
0.176678,9.77858,330
0.219656,10.1886,331
0.163174,9.83515,332
0.227912,10.1637,333
0.194791,9.8348,334
0.235017,10.2125,335
0.164006,9.78754,336
0.23572,10.1923,337
0.177895,9.79848,338
0.229481,10.2028,339
0.173991,9.78891,340
0.223977,10.2109,341
0.180327,9.798,342
0.225385,10.2073,343
0.175335,9.78197,344
0.226569,10.2387,345
0.190855,9.7723,346
0.236745,10.1981,347
0.191624,9.79982,348
0.248394,10.2022,349
0.178151,9.79806,350
0.231497,10.2054,351
0.173351,9.78917,352
0.230057,10.2342,353
0.181767,9.77864,354
0.2234,10.1981,355
0.188743,9.79784,356
0.237769,10.2434,357
0.187719,9.75816,358
0.247177,10.1963,359
0.188359,9.79678,360
0.253578,10.2706,361
0.184999,9.72574,362
0.231528,10.2105,363
0.187751,9.79755,364
0.213736,10.1897,365
0.184775,9.80245,366
0.259626,10.2806,367
0.1962,9.72997,368
0.199592,10.1825,369
0.187463,9.81669,370
0.226985,10.1906,371
0.178119,9.80952,372
0.239433,10.2068,373
0.182855,9.78571,374
0.243434,10.2108,375
0.189767,9.79739,376
0.227208,10.2228,377
0.183942,9.77771,378
0.244905,10.2078,379
0.179879,9.79077,380
0.230376,10.203,381
0.19364,9.7988,382
0.171783,10.1196,383
0.181511,9.88136,384
