execution_ms,period_ms,control loop iteration
0.148539,1.02585,1
0.011136,0.987488,2
0.011296,0.997792,3
0.011807,0.999744,4
0.013055,1.00285,5
0.010623,0.997504,6
0.0112,0.999199,7
0.0112,0.997408,8
0.012224,1.00669,9
0.009536,0.997088,10
0.010591,1.0008,11
0.009855,0.9968,12
0.011648,1.00442,13
0.009824,0.998976,14
0.008896,0.999328,15
0.009696,0.997824,16
0.019839,1.61758,17
0.005824,0.3813,18
0.00464,0.996608,19
0.005055,0.998528,20
0.004448,0.999103,21
0.004384,0.99952,22
0.004256,0.999616,23
0.004448,1.00045,24
0.004416,0.999808,25
0.004288,0.99968,26
0.004223,1.00013,27
0.00448,1.00064,28
0.004352,0.999232,29
0.004384,0.999968,30
0.004288,1.00003,31
0.00448,1.00077,32
0.004351,0.99952,33
0.004224,0.999775,34
0.00432,1.00003,35
0.00448,1.00045,36
0.004352,0.999712,37
0.004224,0.99984,38
0.004288,0.999968,39
0.004448,1.00064,40
0.004352,1.00042,41
0.00432,0.999296,42
0.00432,0.999552,43
0.004512,1.00118,44
0.004288,0.999072,45
0.004255,1.00029,46
0.004288,0.999807,47
0.004544,1.00042,48
0.004224,1.00032,49
0.004256,0.99968,50
0.004384,0.999392,51
0.004415,1.00048,52
0.00432,0.999807,53
0.004288,0.999968,54
0.004352,0.999904,55
0.004448,1.00032,56
0.004256,0.999392,57
0.004288,0.999936,58
0.004287,0.999872,59
0.004384,1.00077,60
0.00432,0.999456,61
0.004416,1.00013,62
0.004224,0.999648,63
0.00432,1.00064,64
0.004287,1.0001,65
0.004352,0.999487,66
0.004256,0.999968,67
0.004352,1.00051,68
0.004288,0.999968,69
0.004288,0.999872,70
0.004319,0.999776,71
0.00432,1.00032,72
0.004448,0.999712,73
0.004288,0.999712,74
0.004224,1.00013,75
0.034879,8.94432,76
0.015968,0.228217,77
0.020927,0.843205,78
0.021407,1.00016,79
0.020415,0.999936,80
0.021183,0.995296,81
0.021888,1.00202,82
0.021375,1.00365,83
0.021951,0.998464,84
0.021695,0.99792,85
0.021727,1.0015,86
0.022655,0.998688,87
0.022304,1.00099,88
0.022784,0.995776,89
0.019968,1.00134,90
0.008352,0.994016,91
0.007872,0.998368,92
0.008,0.998752,93
0.007648,0.998752,94
0.007583,0.99984,95
0.007423,0.999648,96
0.00784,1.00077,97
0.007552,0.9992,98
0.007392,1.00029,99
0.007456,0.999552,100
0.008639,1.00368,101
0.008095,0.997856,102
0.007616,0.999103,103
0.007712,0.999904,104
0.007392,1.00026,105
0.00736,1.00026,106
0.007392,0.99904,107
0.007487,1.00038,108
0.007743,1.00042,109
0.00752,0.999647,110
0.007456,1.00003,111
0.007424,0.999808,112
