execution_ms,period_ms,control loop iteration
0.198809,10.0412,1
0.041534,10.0052,2
0.050943,9.99303,3
0.04723,10.0011,4
0.044638,9.99898,5
0.009408,9.98474,6
0.008543,9.99696,7
0.007872,9.99575,8
0.007552,10.0001,9
0.007295,9.99952,10
0.00736,9.99991,11
8.44444,10.9109,12
0.237591,9.11475,13
0.065149,10.0187,14
0.074333,9.99178,15
0.073053,9.9856,16
0.049343,9.9953,17
0.058238,10.0151,18
0.061278,10.0069,19
0.057854,9.99335,20
0.054494,9.99626,21
0.082429,9.98144,22
0.048639,10.0037,23
0.026495,9.99572,24
0.02352,9.997,25
0.069662,10.0316,26
0.070558,9.99575,27
0.097948,10.0069,28
0.090013,9.98963,29
0.081949,10.8692,30
0.082749,9.13597,31
0.065502,9.98234,32
1.51326,9.99924,33
0.448816,9.99216,34
0.151834,10.0104,35
0.113437,10.0022,36
0.105148,10.0125,37
0.099292,9.99751,38
0.103421,9.9809,39
0.101596,10.0079,40
0.100765,9.99188,41
0.102684,10.0005,42
0.091805,10.0043,43
0.09622,9.99492,44
0.106748,10.0042,45
0.108093,9.99773,46
0.099005,9.99709,47
0.102653,10.0045,48
0.098077,10.0011,49
0.100157,9.99472,50
0.100029,9.99827,51
0.094556,10.0056,52
0.095068,10.0015,53
0.093949,10.0024,54
0.098269,9.99613,55
0.078781,10.0043,56
0.093373,9.99332,57
0.080349,10.0002,58
0.097084,10.0018,59
0.076797,9.99837,60
0.077277,10.0039,61
0.106461,9.99731,62
0.107197,9.99719,63
0.096925,10.0018,64
0.085405,9.99712,65
0.074429,10.0053,66
0.082685,9.99866,67
0.094204,9.99939,68
0.090268,10.0032,69
0.094973,9.99843,70
0.087196,9.99492,71
0.101341,10.0049,72
0.100061,9.99565,73
0.10534,10.0017,74
0.102748,10.0041,75
0.101436,9.99812,76
0.09382,9.99725,77
0.098908,9.99911,78
0.100285,10.0097,79
0.100541,9.99581,80
0.090429,9.99866,81
0.088861,9.99914,82
0.077213,10.0073,83
0.098908,9.99303,84
0.099836,9.99936,85
0.102716,9.9962,86
0.094877,10.0056,87
0.092029,10.0004,88
0.093085,9.99764,89
0.092925,9.99879,90
0.104188,9.99933,91
0.101884,10.0065,92
0.095036,9.996,93
0.103324,9.99888,94
0.096893,9.99818,95
0.102941,10.0003,96
0.092541,9.99956,97
0.086045,10.0043,98
0.097692,9.99812,99
0.096124,10.0009,100
0.109757,10.0037,101
0.123164,10.0041,102
0.103293,9.9992,103
0.090525,9.99703,104
0.095484,10.0137,105
0.161978,10.0115,106
0.133916,9.98679,107
0.143675,9.98244,108
0.163738,10.0157,109
0.216376,15.0808,110
0.161851,4.90463,111
1.94972,10.0109,112
0.325205,9.98157,113
0.201945,10.0192,114
0.169434,9.99274,115
0.162043,10.0061,116
0.166874,9.98602,117
0.15369,10.0282,118
0.154075,9.98138,119
0.146171,9.99831,120
0.161242,10.0109,121
0.145883,9.99108,122
0.161691,10.0097,123
0.166266,9.99392,124
0.166074,9.99565,125
0.164698,10.0027,126
0.147067,10.0065,127
0.163386,9.99616,128
0.16521,10.0044,129
0.142075,9.98599,130
0.156986,9.99751,131
0.171226,10.0109,132
0.147131,9.9921,133
0.166522,10.0087,134
0.155867,9.99437,135
0.166011,10.0021,136
0.149883,10.0084,137
0.155291,10.0035,138
0.152955,9.99764,139
0.151259,9.99037,140
0.150363,9.99437,141
0.152507,10.0011,142
0.161466,10.0065,143
0.164315,9.9968,144
0.160698,10.012,145
0.146203,9.98765,146
0.16473,10.0152,147
0.155322,9.9872,148
0.143355,9.99824,149
0.147547,10.0015,150
0.157883,10.0002,151
0.158331,10.003,152
0.160347,9.99587,153
0.152378,10.0007,154
0.147835,9.99706,155
0.170362,10.0202,156
0.159866,9.99146,157
0.165754,10.0005,158
0.169914,9.99328,159
0.159995,9.99652,160
0.167866,9.99674,161
0.175258,10.0028,162
0.168251,10.0073,163
0.160347,10.0058,164
0.139995,9.98423,165
0.148923,10.0051,166
0.15625,10.0069,167
0.162554,10.0097,168
0.14681,9.98,169
0.143387,9.99783,170
0.162555,10.011,171
0.16297,9.99344,172
0.143739,9.99703,173
0.151579,10.0103,174
0.151867,9.98973,175
0.167194,10.0032,176
0.164186,10.0126,177
0.165562,9.98874,178
0.165658,10.0109,179
0.144155,9.98394,180
0.156922,10.0134,181
0.159194,9.99239,182
0.140347,10.0037,183
0.152411,10.0039,184
0.146907,9.9833,185
0.139323,10.0027,186
0.160186,10.0026,187
0.166234,10.0026,188
0.163322,10.0008,189
0.157467,9.99578,190
0.155963,10.0032,191
0.16857,10.0032,192
0.157147,9.99658,193
0.161467,10.0084,194
0.157658,9.99418,195
0.157466,9.99607,196
0.151738,10.0064,197
0.158395,9.99143,198
0.16809,10.0045,199
0.164955,9.99709,200
0.145851,9.99591,201
0.151514,10.0008,202
0.153818,10.0058,203
0.168602,9.99936,204
0.154651,9.99949,205
0.150523,9.99892,206
0.152123,10.0055,207
0.163514,10.0014,208
0.155035,9.99568,209
0.165306,10.0107,210
0.16185,9.988,211
0.159258,9.99639,212
0.160922,10.0023,213
0.172986,10.001,214
0.158875,9.99684,215
0.166618,10.0096,216
0.151546,9.99037,217
0.152891,10.0076,218
0.160059,10.0065,219
0.160283,9.99933,220
0.154139,9.98717,221
0.150843,10.0036,222
0.14809,9.99191,223
0.15417,10.0003,224
0.140731,10.0037,225
0.157531,10.0051,226
0.155578,10.002,227
0.157563,9.99373,228
0.140027,9.99616,229
0.162682,10.0096,230
0.162107,9.9946,231
0.165498,10.0013,232
0.156634,10.0098,233
0.161979,9.99133,234
0.148891,9.99738,235
0.167258,10.0013,236
0.16393,9.9976,237
0.15881,10.0095,238
0.147195,9.99002,239
0.142363,9.99818,240
0.156923,10.0044,241
0.156315,10.0005,242
0.145979,9.99501,243
0.146747,10.001,244
0.157882,10.0002,245
0.164922,9.99888,246
0.166394,10.0173,247
0.162682,9.98698,248
0.166938,9.99795,249
0.170106,10.0145,250
0.146971,9.9865,251
0.147643,9.99639,252
0.166138,10.0022,253
0.152955,10.0013,254
0.16601,10.0049,255
0.15385,9.99392,256
0.161339,9.99946,257
0.164026,10.0095,258
0.16265,9.99568,259
0.160378,10.0059,260
0.163482,10.0094,261
0.168186,9.98135,262
0.147547,10.0084,263
0.150011,10.0025,264
0.160538,10.0004,265
0.151035,9.98839,266
0.144667,10.0012,267
0.155194,10.008,268
0.157083,9.99335,269
0.163034,9.99984,270
0.165018,10.0041,271
0.163578,9.99319,272
0.140347,9.99847,273
0.146875,10.005,274
0.160123,10.0071,275
0.149019,9.98618,276
0.156346,10.0021,277
0.16633,10.0041,278
0.164442,10.0167,279
0.160347,9.99357,280
0.167354,9.98855,281
0.164379,10.0001,282
0.15433,10,283
0.148347,9.99642,284
0.160346,10.0029,285
0.160026,10.0069,286
0.150523,9.98797,287
0.16585,10.0045,288
0.144059,10.0037,289
0.158331,10.0059,290
0.159706,9.99373,291
0.163866,10.0108,292
0.158459,9.99859,293
0.162938,9.99376,294
0.159611,9.99831,295
0.168154,10.0072,296
0.149659,9.98816,297
0.149211,10.0004,298
0.162331,10.0096,299
0.166074,9.98916,300
0.138939,9.99914,301
0.137468,10.0173,302
0.156347,9.98567,303
0.159291,10.0114,304
0.160058,9.99975,305
0.155803,9.98903,306
0.154683,9.9961,307
0.16537,10.0122,308
0.162779,9.99283,309
0.164378,10.0013,310
0.146843,10.0066,311
0.149179,9.99661,312
0.160026,10.0066,313
0.149339,9.98842,314
0.167866,9.996,315
0.156859,10.003,316
0.155418,9.99517,317
0.149819,10.0042,318
0.153403,9.99898,319
0.153723,10.0091,320
0.156218,9.9961,321
0.146331,9.99415,322
0.160122,10.0031,323
0.137243,10.0055,324
0.159322,10.0046,325
0.159162,9.99162,326
0.161146,10.0048,327
0.162714,9.99076,328
0.157882,9.9993,329
0.149691,9.99952,330
0.156571,10.0131,331
0.165691,9.99076,332
0.146331,9.99344,333
0.141403,10.0181,334
0.154651,9.98928,335
0.168634,9.99908,336
0.149755,9.99229,337
0.163482,10.0078,338
0.155931,9.99194,339
0.141851,10.0006,340
0.154299,10.0062,341
0.155642,10.0015,342
0.159547,9.99533,343
0.158394,10.0029,344
0.139323,10.0066,345
0.142203,9.99431,346
0.165914,9.99882,347
0.16313,10.0082,348
0.145435,9.99152,349
0.168923,10.0058,350
0.147451,9.99408,351
0.142523,10.0023,352
0.163898,9.99517,353
0.164314,10.0041,354
0.161498,10.0002,355
0.183898,9.99898,356
0.239768,10.0238,357
0.237976,9.9914,358
0.188058,9.97767,359
0.276215,10.0269,360
0.252151,9.9769,361
0.693448,10.004,362
0.273335,9.98647,363
0.222744,10.0181,364
0.188633,9.99568,365
0.207225,9.98871,366
0.186522,10.0053,367
0.18121,10.0047,368
0.182266,10.0105,369
0.173082,9.9937,370
0.184218,10.008,371
0.174554,9.98858,372
0.177562,10.0036,373
0.184602,10.0112,374
0.17257,10.0027,375
0.188153,9.98666,376
0.18857,9.99632,377
0.160858,10.0024,378
0.191353,10.0004,379
0.187033,10.0093,380
0.186297,9.99354,381
0.174618,9.99261,382
0.18697,10.0257,383
0.185305,9.98122,384
0.163546,9.99216,385
0.188665,10.0158,386
0.167707,9.9954,387
0.189273,10.0022,388
0.173882,9.98397,389
0.156891,10.0192,390
0.189849,9.99911,391
0.16633,10.0039,392
0.185593,9.99613,393
0.179386,9.98848,394
0.17673,10.0123,395
0.191865,10.0076,396
0.185977,9.98986,397
0.196953,9.98823,398
0.190873,10.0122,399
0.183993,9.99127,400
0.172506,10.0055,401
0.177402,9.99338,402
0.187417,10.002,403
0.154363,9.99603,404
0.187546,9.99396,405
0.181722,10.0089,406
0.173242,10.0061,407
0.166523,10.0021,408
0.175738,9.98944,409
0.190265,10.0111,410
0.181818,9.99549,411
0.190457,10.001,412
0.167738,9.99652,413
0.16953,10.0003,414
0.168794,10.0059,415
0.184569,9.9906,416
0.176858,10.0019,417
0.170426,10.0063,418
0.179417,9.99085,419
0.182681,10.0134,420
0.187385,9.99248,421
0.18889,9.99773,422
0.182329,10.006,423
0.189593,9.99258,424
0.16841,9.99412,425
0.171578,10.0067,426
0.173818,9.99447,427
0.173146,10.0008,428
0.171034,10.002,429
0.19273,9.99936,430
0.170298,9.99706,431
0.171162,9.99876,432
0.178841,10.0091,433
0.187545,9.99655,434
0.154714,9.99677,435
0.164282,10.0126,436
0.17961,9.98951,437
0.18249,9.99783,438
0.165915,9.99556,439
0.16681,10.0128,440
0.184858,10.0069,441
0.179705,9.99207,442
0.167066,9.99188,443
0.181274,10.0051,444
0.169498,10.0037,445
0.180794,9.99156,446
0.195001,10.0129,447
0.188473,9.99879,448
0.183481,9.99367,449
0.181401,9.99405,450
0.164122,9.99767,451
0.18329,10.0136,452
0.170906,9.98417,453
0.154747,10.0041,454
0.182938,10.0017,455
0.17913,10.0011,456
0.173818,9.99856,457
0.185369,10.0049,458
0.162459,10.0005,459
0.186106,10.0068,460
0.188314,9.98804,461
0.187194,10.0034,462
0.181082,9.99716,463
0.181978,10.0005,464
0.156667,10.0086,465
0.160122,9.99037,466
0.182458,10.0033,467
0.17993,9.99837,468
0.184025,10.0113,469
0.179866,9.99085,470
0.181017,10.0037,471
0.183162,10.012,472
0.172314,9.99226,473
0.166394,9.98474,474
0.160026,9.99943,475
0.164539,10.0062,476
0.177946,9.99664,477
0.186106,10.0031,478
0.187129,10.0051,479
0.173946,9.99735,480
0.177049,10.0003,481
0.17209,10.0089,482
0.167162,9.98388,483
0.179034,10.0058,484
0.188826,9.99895,485
0.183929,10.0086,486
0.184473,10.0012,487
0.174874,9.99056,488
0.186809,10.0182,489
0.166362,9.98042,490
0.181818,9.99901,491
0.17881,10.0077,492
0.163898,9.99232,493
0.188474,9.9993,494
0.165018,10.0034,495
0.183642,10.0092,496
0.185914,10.0009,497
0.163067,9.99296,498
0.158779,9.99591,499
0.163803,9.99604,500
0.150235,10.0064,501
0.165242,9.9944,502
0.166458,10.0074,503
0.181337,9.9986,504
0.182489,9.99626,505
0.181913,9.99853,506
0.18457,10.0069,507
0.18361,9.99146,508
0.178106,10.0049,509
0.184186,9.99783,510
0.171386,10.0042,511
0.178202,10.0078,512
0.169627,9.99399,513
0.176538,10.0149,514
0.182618,9.97956,515
0.169082,10.0079,516
0.181209,10.0018,517
0.170426,9.99072,518
0.169978,10.0009,519
0.17801,9.99744,520
0.178841,10.0014,521
0.180985,9.99808,522
0.182618,10.0029,523
0.167227,10.0019,524
0.183962,10.002,525
0.165786,9.99793,526
